ID,DATE,TIME,VMAX,PER
AL081986,860908,0,45,15
AL081986,860908,6,50,15
AL081986,860908,12,50,5
AL081986,860908,18,50,0
AL081986,860909,0,45,-5
AL081986,860909,6,40,-10
AL081986,860909,12,35,-10
AL081986,860909,18,30,-10
AL081986,860910,0,30,-5
AL081986,860910,6,30,0
AL081986,860910,12,30,0
AL091986,860910,18,30,0
AL091986,860911,0,35,0
AL091986,860911,6,45,15
AL091986,860911,12,55,20
AL091986,860911,18,70,25
AL091986,860912,0,75,20
AL091986,860912,6,80,10
AL091986,860912,12,85,10
AL091986,860912,18,90,10
AL091986,860913,0,90,5
AL091986,860913,6,90,0
AL091986,860913,12,90,0
AL091986,860913,18,90,0
AL091986,860914,0,90,0
AL091986,860914,6,90,0
AL091986,860914,12,90,0
AL091986,860914,18,90,0
AL091986,860915,0,90,0
AL091986,860915,6,90,0
AL091986,860915,12,90,0
AL091986,860915,18,85,-5
AL091986,860916,0,80,-10
AL091986,860916,6,80,-5
AL091986,860916,12,75,-5
AL091986,860916,18,75,-5
AL091986,860917,0,75,0
AL091986,860917,6,70,-5
AL091986,860917,12,70,-5
AL091986,860917,18,70,0
AL091986,860918,0,70,0
AL091986,860918,6,65,-5
AL091986,860918,12,65,-5
AL091986,860918,18,65,0
AL101986,861118,18,30,0
AL101986,861119,0,30,0
AL101986,861119,6,35,5
AL101986,861119,12,40,10
AL101986,861119,18,50,15
AL101986,861120,0,55,15
AL101986,861120,6,65,15
AL101986,861120,12,75,20
AL101986,861120,18,75,10
AL101986,861121,0,70,-5
AL101986,861121,6,65,-10
AL101986,861121,12,55,-15
AL101986,861121,18,45,-20
AL031987,870809,12,30,0
AL031987,870809,18,35,0
AL031987,870810,0,40,10
AL031987,870810,6,40,5
AL031987,870810,12,40,0
AL031987,870810,18,30,0
AL031987,870811,0,25,0
AL031987,870811,6,25,0
AL031987,870811,12,25,0
AL031987,870811,18,25,0
AL031987,870812,0,25,0
AL031987,870812,6,25,0
AL031987,870812,12,25,0
AL031987,870812,18,20,0
AL031987,870813,0,20,0
AL031987,870813,6,20,0
AL031987,870813,12,20,0
AL031987,870813,18,15,0
AL031987,870814,0,15,0
AL031987,870814,6,15,0
AL031987,870814,12,15,0
AL031987,870814,18,15,0
